id,pmkSong,fnkArtist_id,fldTerms,fldTitle,fldYear
130,SOFDTRZ12AB018DD11,ARB4D891187B9954F7,hip hop,Crawl Before You Ball (Album Version),1999
131,SOOGNJP12A8C1381AD,ARQOC971187B9910FA,post-grunge,Medicate Myself,2001
132,SOFUBCP12A8C13D5EF,AR19SOA1187B98F6E6,singer-songwriter,Biding Her Time,1990
133,SOVZBDR12A6702012E,ARTDBI61187FB48479,gospel,More And More  (LP Version),0
134,SOPWKSS12AC468E659,ARSE6YI1187B9B9CD2,blue-eyed soul,Cowboy Ways,0
135,SOCCQIQ12A8C13C76B,AR6C8EJ1187FB3F473,latin jazz,Brasas Vivas,0
136,SODBMZD12A8C134232,AROI96Z1187B9A5304,vocal house,Kolomeyke,0
137,SOBUWPY12A8C1446C0,ARIOSKN1257509BCE1,los angeles,In This Life,2009
138,SORWXUP12A58A79E65,ARI0PUX1187FB3F215,lovers rock,Groovin' In The Midnight,1991
139,SOJEVZW12A8C133988,ARYO9BU1187B9ADA88,experimental rock,Waiting,1997
140,SOOODKC12AB018462F,ARZ507V1187FB4425E,arabesque,A'chek Ouyounik (2009 Digital Remaster),0
141,SODOLVO12B0B80B2F4,AR6XPWV1187B9ADAEB,grunge,Hell,2005
142,SOEHWGF12A6D4F8B2B,AR6PJ8R1187FB5AD70,dance pop,Hips Don't Lie (featuring Wyclef Jean),0
143,SOOZLTC12A6D4FBE91,AR4CG3B1187FB5B861,rock,Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),0
144,SOOSYMY12AB01888CD,AR7BMMV1187FB5B2D7,blues-rock,I Got Over It (Album Version),1988
145,SOPBKEB12A6D4FD777,AREYIHC1187B99CE0B,bossa nova,One Less Bell To Answer,0
146,SOEWQYW12AB0183FDE,AREEMIN11F4C848971,zouk,Festa,0
147,SOFBQIA12AB0182219,ARBJSO81187B9BA09B,rock,Te Hacen Falta Vitaminas,1984
148,SOHDDHR12AB0183552,ARBGJLS11F4C83D4B9,thrash core,Sense And Trick,0
149,SONWQQX12AC3DF6762,ARVNDLR1187B99CA1B,folk-pop,Fire (Oscar G Space Vocal Mix),0
150,SOGXFIF12A58A78CC4,AR5LZJD1187FB4C5E5,ccm,Hanging On (Medium Key Performance Track Without Background Vocals),0
151,SOIPNSZ12A8C144128,AR3WMW01187B9921F7,breakcore,Grim Prospects (Version 2 Remix),0
152,SOEXSIN12A8C133B0A,ARAEX7Y1187FB42D36,dance pop,Christmas In Jamaica,2001
153,SOTSMNJ12AB018365E,ARK2G5U1187FB46B34,easy listening,Gossippo Perpetuo,2001
154,SOLGRUN12A8C140543,ARTB56G11C8A41569D,tech house,2190 Dias Contigo,0
155,SOQCHGV12AC4688FC6,AR0GGKI1187FB391D5,frevo,No Control,0
156,SOXCWTT12AC9075756,ARZEWUR1187FB53DC8,black metal,The Vitalized Shell,2010
157,SOAFIPD12A8C13A261,AR89DTT1187B9A7ED5,meditation,Mozart,1989
158,SOMJPML12A8C13D74E,ARTHKKA122BCFCBF58,serialism,Ciao Milan,0
159,SOCVDYI12AC4687DDB,ARJDMBO1187B9AD118,roots reggae,Lend Me Your Chopper,2004
160,SOEVGMZ12A8C1421B5,ARYJSY01187B9B7C65,bluegrass,Letter To Heaven,1971
161,SOCGURJ12AB0182AEE,AR77FBJ1187FB49D8D,jazz funk,Heaven is Where The Heart Is,0
162,SOHTWLT12A8C13CFE1,ARFVYJI1187B9B8E13,grunge,Inside Job,2006
163,SOVQZYP12A8C144692,ARBM4TC1187FB5CE98,vocal jazz,Take A Look  (LP Version),0
164,SOHHANU12A58A77C66,ARMQHX71187B9890D3,alternative metal,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),2009
165,SOTHWPG12AB018C90E,ARYXJ5A1187B9B9E56,flamenco,Bulgarian Dream,0
166,SOOQHNV12AB0186CD4,ARULHJM1187B997004,blues-rock,Amalgama,0
167,SOSGXRU12AAF3B2B07,AROTIMO1187FB532BF,gangster rap,Born and Raised In Compton,1991
168,SOFRUDU12A8C13A40C,AR0X3JJ1187FB3A9A7,honky tonk,We're Gonna Go Fishin',0
169,SONXLQQ12AB0184B54,AR035N21187FB3938E,electronica,Robbers Kill Cop,0
170,SOKPHVH12AB0187460,ARA0H5U1187FB47949,vocal house,Relax,2009
171,SOIUGDX12A6D4FDECA,AR358YS1187FB44A29,country gospel,Sweet By And By,0
172,SOAYYDM12AB01817E6,ARANOZN1187B9B373E,hardcore punk,Orgofart,1986
173,SORAJXA12A58A7A4C9,ARHONG11187FB3B120,heavy metal,Bitch Is Back,1988
174,SODJUNF12A8C13337F,ARRA2F91187B9B4061,post-grunge,Naked Albino,1998
175,SOVDDWO12A6D4F9A78,ARSGZ3J1187FB3E610,brill building pop,Johnny Loves Me (LP Version),0
176,SOFGQAP12AB0185946,ARMQ32V1187B9999F3,easy listening,Dearly Beloved,0
177,SORGLCR12AB0184B69,AR8EDG51187FB41A08,tejano,The Look Of Love,0
178,SOLBIIE12AB0184DFC,AR1GYND1187B9A9CD3,pop rock,Cooler Than You,1998
179,SORHOEV12A81C20F71,AR1PCLK1187FB5BBFF,chill-out,Taryns Deepest Fear,0
180,SOFPYXC12A58A7A4B9,ARF0W6Z1187B9AC325,sympho black metal,Summer Dying Fast,1994
181,SOFQGCQ12AB0183609,ARWGIOC1187FB4CBEF,chamber jazz,Still,0
182,SOEBDBO12AC4688712,ARZHLNX1187FB4B8E7,dancehall,Snapshot,0
183,SONIQSB12AB0189829,ARC25S11187B993923,hard house,End Of The Road (Head Hornys Remix),0
184,SOYNEII12AB0181DB6,ARKE8PP1187B997DD4,rap,7 Miles,0
185,SOKIGWD12A6701DE9D,ARK9TRQ1187B99C095,industrial metal,The Frail,1999
186,SOHXKAN12AC46872F1,ARGTUWC1187B9904A0,gaita,Para Milladoiro,2010
187,SOQZHMH12A8C13A393,ARFS01P1187B9A395A,honky tonk,Stone Cold Fingers (Bonus Track),0
188,SOLEYPL12A6D4F83CE,ARGWIHH1187B9A79B0,grime,Snowball,2005
189,SOZFCNC12A6D4F76F3,AR5MK521187B98E0B8,new romantic,(We Don't Need This) Fascist Groove Thang,1981
190,SOPUQFS12A8C13DE1E,ARU22AM1187B9961EA,happy hardcore,Drunk Alone,0
191,SOPNRDT12AB018A2D8,ARTB56G11C8A41569D,tech house,Charisma,0
192,SOGTLVU12A8AE47D5D,AR93RTI1187B98ECFB,texas blues,Going Down Slow,2000
193,SOXNMDZ12A6D4FA20D,AR9AN471187B99E0DA,modern rock,All Rise,0
194,SOGOJBW12AB018513B,ARAR4YH1187B98BF2A,brazil,Jogo Limpo,0
195,SONNOCP12A8C145220,AR567PN1187FB4B4F2,future jazz,Silent Hill,2009
196,SOUDHTP12AB0183403,ARYKF861187B99C74B,bossa nova,Our Love Is Here To Stay,0
197,SOWDEPU12A8C137B14,AR4K59J1187FB3759B,breakbeat,Everything Changes,0
198,SOJBYGW12A8C13A497,ARLSF8H1187B9A76B0,black metal,Master Of Disharmony,1996
199,SOQDTQP12A6D4F793F,ARDG9Z71187B997023,dance rock,(This Is Not A) Love Song (Live),1983
200,SOJHKYL12A6D4FA0AC,AR56P361187B9AC4DB,blues-rock,What Are We Here For,1997
201,SOJVWBA12AB018C326,ARDDHGI126E2B3AA76,french pop,Une petite pause,2010
202,SONRSQW12A6D4F6D1C,ARVML631187B99E90D,dance rock,Wig,1986
203,SONTBYD12A58A77A29,ARBKMHZ11F4C843491,greek,Perasmena Mesanihta,0
204,SOMKMPB12A8C1447D0,ARD3LXU1187B9ABFC5,punk,God Save the Queen (Live),1988
205,SOSGQPS12A8AE48538,ARXOTQH1187FB57084,r&b,Forever,0
206,SOKENJQ12AB017EC8C,ARMG6K31187FB55677,breakbeat,Sun Is Shining,2004
207,SOBNTXB12A8C1428BA,ARFUSID1241B9C9462,opera,New Age,0
208,SOIKIJC12AC3DFB3D2,ARC6UC81187B989062,folk-pop,Have Yourself A Merry Little Christmas,2005
209,SOFJNQR12A6D4FAE92,ARKZJ301187FB521B2,ska,U Killed It,2006
210,SOGDFIT12AB018528B,ARVKAWO11F50C47C9A,british invasion,Rain And Snow,0
211,SOOIZTH12AB018C12E,ARHXBJI1241B9C8B7F,turnablism,Gerra De De,0
212,SOQPJUL12AB0189379,ARTFLEU1269FCD1FE3,pop folk,Kako mi je pitas sad,0
213,SOMBQEO12A8C135018,AR0LVFQ1187B9A84E0,jazz fusion,Voices On The Corner,0
214,SOCQWKZ12A8C13CE4C,ARU9KWP1187B98B2A7,alternative hip hop,(Bloody Paw On The) Kill Floor,2007
215,SONETAN12A58A7ACEB,ARZ05QG1187FB3843E,chicago blues,I Wish My Mother Was Here,1989
216,SOKEXTF12A8C13AE7E,ARTEGHH1187FB435C8,latin jazz,Inolvidable,2003
217,SOUJISW12CF4E09416,ARASSX21187FB528B7,breakbeat,Miracle,1996
218,SOJKDKH12A58A761A2,ARRH2S81187B98C8AA,stoner metal,Witch Weed (Live),1999
219,SOTWWBZ12AB01845E0,ARSF4161187B9B449F,blues-rock,Not Buried Deep Enough,1995
220,SOKZTUH12AB018B938,AR87OXB1187FB39E0B,western swing,Give Me 40 Acres (To Turn This Rig Around),0
221,SOQDTZG12A8C1442E3,ARCLCFS1187B9AE476,latin jazz,Ernesto Nazareth,0
222,SOIFOLA12AB017CDA1,ARWAPYC1187FB3FCAF,doom metal,The Cube (Live),2001
223,SOKHVZO12AB0184C4D,ARILV5E1187B9959C8,hard house,Get Back Down,0
224,SOMISOP12AC468D9D5,ARHSAFX1187B98E89A,world beat,Battle Of The Rosebud / Cries,0
225,SOOZKNQ12A6D4F6FD4,ARGR9FY1187FB4D0E7,twee pop,Beyond the Light,0
226,SOGOQGE12AB0182907,ARVG4OK1187B9B6BD3,rock,Spaceman,2008
227,SOWTIDJ12AB018808C,ARGCY1Y1187B9A4FA5,teen pop,Pulecenella 'e mA2,0
228,SONIHLC12AB0187B0C,ARYFROT1187B9B78C2,doom metal,Iskorosten' (instr.),0
229,SOLBHCO12AB018769A,ARIN12F1187FB3E92C,smooth jazz,Big Stax/High Volts (Album Version),0
230,SOVZVPT12AB018A59E,ARMZ4PD1187B9ACBCD,power pop,It Goes On,0
231,SOZWDHS12AB0188A33,AR0CWSC1187B9AFE3F,latin pop,Pecado De Amor,0
232,SOFSKON12A8C13B3B5,ARD5K161187B9AC784,techno,Illuminate,2001
233,SOBOCAG12A6BD55D56,ARUZRFN1187B98AC05,gangster rap,Never Forget Me,2007
234,SONCYFS12A8C14261E,ARSTH0R1187B98951E,viking metal,Ukkosenjumalan poika,2001
235,SOTNBNN12A6D4F6CC7,ARSL5SP1187B9A7AE0,gangster rap,A B***** Is A B***** (Edited),1989
236,SOXZLDX12A58A7CE52,ARCE0H01187B9AF741,rap metal,Kick Out The Jams,2000
237,SOEESQT12A8C13C7D5,ARW4AGO1187FB4F107,chicago blues,Me And My Buddy,0
238,SOSKUNI12AB0187F12,ARZWK2R1187B98F09F,hardcore punk,Amber Changing,2003
239,SOSLFMU12AB018FFEA,ARDOOH01187B991055,gabba,Murder Academy,1995
240,SOOKISK12AB0180667,ARMBTFC1187FB56343,rap metal,Hey Daddy,1999
241,SOVGBEK12A8C134E04,ARBH0MS1187FB36311,requiem,4 Sea Interludes Op. 33a: Storm,0
242,SORJOMF12AB0186F78,ARTXEZN1187B9B8190,europop,I Need You Now,0
243,SOVTGXQ12A6D4FB9CA,ARBM57Q1187B9AF97C,rock,Atmosphere Station,1986
244,SOLKTEK12AB018BE1A,ARED2DG1187FB3CB4D,post-grunge,Walk Away,2009
245,SODYZIU12A8C13FBD9,ARMQHX71187B9890D3,alternative metal,Shadows That Move,2001
246,SOJRCDU12AB0189D27,ARNIFX51187FB418EA,gabba,Smile,2000
247,SOBMHTY12AC9097B7C,AREW1KO1187B98E42E,irish folk,Mountains Of Mourne,0
248,SOZWHVZ12A6D4F90E7,ARUJ5A41187FB3F5F1,dance rock,Kite Live from Sydney,2007
249,SOQAHUW12AB0181F04,ARE2BVT1187B9AC9A2,soul jazz,Loco (Crazy),0
250,SOVHRBI12A81C22E02,ARMBTFC1187FB56343,rap metal,Ever Be,2007
251,SOHULHF12AB017F6CF,AR97EHA1187B98AD5F,country blues,Oh Look Misery,0
252,SOFWWGY12AB0185BC5,ARFTMGO1187B9A777A,instrumental pop,Yesterdays,0
253,SOEETVW12A6D4F93B8,AR5J8XN1187B9B712E,funk metal,Teacher's Pet,0
254,SOJTIKK12A8C13B15E,AR4B3RX1187B9A868A,soundtrack,Palmer enquAate,2004
255,SOQBQWN12AB0186782,ARE1N571187B98A47D,rap,Go To Hell,0
256,SOKLQWF12A8C1423F2,AR8XG9J1187FB418C1,chicago soul,Moon River - Original,0
257,SORQLMX12A8C133FCD,ARHSS201187B98A8CC,chanson,La Plus Bath Des Javas,0
258,SOCLQKJ12AF72A4AB0,AR02PUA1187FB52574,gabba,Infidel,0
259,SODWXQV12A6310F10D,AR6892W1187B9AC71B,british pop,English Summer Rain,2003
260,SORKRKK12A8C13C12F,ARGNGRI11E2835D567,pop rock,Spanish Shuffle (Album Version),0
261,SOQPPKZ12A58A7B1EC,ARQDYV0119B866800F,big beat,Intro,2009
262,SOXSUNF12A8C134195,ARN5W1B1187B98BE10,roots reggae,Empress So Divine,2002
263,SOVRJYX12AB01844E1,ARBJSO81187B9BA09B,rock,Terapia De Amor Intensiva,1988
264,SOMOHEI12AB018785F,ARETCTY1187FB4C033,trip hop,Haunting,0
265,SOOGRLD12A8C132B2F,ARQXR6R1187FB46FD6,hard rock,Lies Of Hate,1998
266,SODAEVD12AB01886BB,ARP8TSJ1187FB54852,progressive house,The First Noel,0
267,SOAESJW12A8C137CC2,AR3PN3R1187FB4CEBD,roots reggae,Musical Episode,2005
268,SOHCYVK12AB017BBF2,ARQGYP71187FB44566,classic country,Beautiful Brown eyes,2001
269,SOCWXYM12AB018BDF3,ARHVU591187B99F46A,gabba,Drop the Bass,0
270,SOSYVIZ12A8C141964,ARV2V751187FB4330F,hip hop,The Last Word (Amended Version),2000
271,SOTVEKK12A8C1392E1,ARX9YIP1187B98A656,hip hop,Hard Times,1984
272,SOHGAJH12A6D4F8F58,ARPPURC1187B990FB7,orchestra,Just As Much As Ever,0
273,SOCTSJA12AC9618325,AR0X3JJ1187FB3A9A7,honky tonk,Filipino Baby,0
274,SOTYCYE12AC468AA08,ARYECMK1187FB5C081,hip hop,The Boss,0
275,SOAKXET12CF5F86E71,AR74Q3R1187B9B24C3,sympho black metal,Escapist,2007
276,SOYDHCW12A6D4F9A2E,AR1PCLK1187FB5BBFF,chill-out,Jeffrey's Dark Side,1987
277,SOGBJSK12AB018D052,AR0G47L1187B98CC6D,orchestra,Someone to Watch Over Me,0
278,SOSTFTW12A8C13B84A,ARKUP6H1187FB3F8E3,latin jazz,Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente,0
279,SOLHFZF12AB018AB3E,ARHRP6Q1187FB3F016,post-grunge,Pinned To The Ground (album version),2002
