index,pmkArtist,fldName,fldLocation
237,ARBM57Q1187B9AF97C,James Horner,"Los Angeles, CA"
238,ARED2DG1187FB3CB4D,Tantric,Not available
239,AREW1KO1187B98E42E,The Irish Tenors,Not available
240,ARUJ5A41187FB3F5F1,U2,"Dublin, Ireland"
241,ARE2BVT1187B9AC9A2,Little Joe,Not available
242,AR97EHA1187B98AD5F,Blind Blake & The Royal Victoria Hotel Calypsos,"Jacksonville, FL"
243,ARFTMGO1187B9A777A,Percy Faith,"Toronto, Ontario, Canada"
244,AR5J8XN1187B9B712E,Extreme,Not available
245,AR4B3RX1187B9A868A,Alexandre Desplat,Not available
246,ARE1N571187B98A47D,Prozak,London
247,AR8XG9J1187FB418C1,Jerry Butler,"Sunflower, MS"
248,ARHSS201187B98A8CC,Yvette Horner,Not available
249,AR02PUA1187FB52574,Delta 9,Not available
250,AR6892W1187B9AC71B,Placebo,"London, England"
251,ARGNGRI11E2835D567,Tam Tam Go!,Not available
252,ARQDYV0119B866800F,Gertrudis,Not available
253,ARN5W1B1187B98BE10,Warrior King,Not available
254,ARETCTY1187FB4C033,LORE,Not available
255,ARQXR6R1187FB46FD6,Soul Asylum,"Minneapolis, MN"
256,ARP8TSJ1187FB54852,Carl Doy with NZSO,Not available
257,ARHVU591187B99F46A,The Nightraver & The Magican,Not available
258,ARV2V751187FB4330F,Rah Digga (Featuring Outsidaz),New Jersey
259,ARX9YIP1187B98A656,RUN-DMC,Not available
260,ARPPURC1187B990FB7,Bert Kaempfert And His Orchestra,Not available
261,ARYECMK1187FB5C081,Lady May,Windhoek
262,AR74Q3R1187B9B24C3,Nightwish,"Kitee, Finland"
263,AR0G47L1187B98CC6D,Frank Chacksfield,"Battle, Sussex, England"
264,ARKUP6H1187FB3F8E3,Cesar Camargo Mariano/Helio Delmiro,Not available
265,ARHRP6Q1187FB3F016,Buzzhorn,"Milwaukee, WI"
266,AR10USD1187B99F3F1,Silverstein,"Burlington, Ontario, Canada"
267,ARTW7I31187B9A4CA9,!!!,Not available
268,ARQCMZ01187B99342C,The Secret Life of Teenage Girls,Not available
269,ARSZ6MA1187FB43D29,The Notorious B.I.G.,Not available
270,ARDIBRT1187B9AF176,Led Zeppelin,England
271,ARY80281187FB3E380,Sandi Thom,Scotland
272,ARXSPYZ1187B98972A,Carl Belew,"Salina, OK"
273,ARR2TI31187FB380FE,The Field Mice,Not available
274,ARNILB71187B99EC88,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,"Los Angeles, CA"
275,AR0OEYB1187FB4A81E,Catherine Howe,"Yorkshire, England"
276,ARH4N0N1187FB3E1F1,Malkit Singh,Not available
277,ARDQO721187FB3C6D9,Rodney O & Joe Cooley,Not available
278,ARIFGKC1187B9B04D5,Dean Martin,"Steubenville, OH"
279,AR4IWYN1187FB47DF6,Strata,"Campbell, CA"
280,AR9YQN31187FB45B34,James Darren,"Philadelphia, PA"
281,ARV3IN31187FB4AAAE,Till West & DJ Delicious,Not available
282,ARCID1N1187FB51DA0,Carlos NuA+-ez,Not available
283,ARKCTSM11F4C83C839,Igor Stravinsky,Not available
284,AR7JBP41187FB3EA8A,Gene Clark,"Los Angeles, CA"
285,ARAHQDS1187FB55275,Maysa,Not available
286,ARALP6I1187B989E27,The Shirelles,"Passaic, NJ"
287,AR23EC41187FB4805D,The American Boychoir,New Jersey
288,AR8JSAL1187FB3CE7E,JDS,Not available
289,ARL6FF81187FB5A916,Panic At The Disco,"Las Vegas, NV"
290,AR9EZGO1187B9A401F,Jan Howard,"West Plains, MO"
291,ARLDW6Z1187FB3F2A0,Abraham Laboriel,"Mexico City, Mexico"
292,ARKA2YS1187B9A4060,"MichA""le Arnaud",Not available
293,AR1QXAQ1187FB47FAC,Sticky Fingaz,"Brookyln, NY"
294,ARKSBCO1241B9CE46E,Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,Not available
295,AR76DOS1187FB5AE78,The Jeff Healey Band,Not available
296,AR4OHL91187B9B2EB9,Angela Dimitriou,Not available
297,AR6QQY41187B990574,Danny Wilson,"Dundee, Scotland"
298,ARN8NCB1187FB49652,Lionel Rogg,"Geneva, Switzerland"
299,AREHMUC1187B98B91B,Java,Not available
300,ARXG6L11187FB5695E,SWAMI featuring Asuivre,"Birmingham/ London, UK"
301,ARO2EDF1187B993BD8,The Black Velvet Band,Not available
302,ARU0HTX1187B98B4C6,Lisa Lynne,California - LA
303,ARVMPJC1187FB3B954,Pe'z,Not available
304,ARDW5AW1187FB55708,Shawn Colvin,"Vermillion, SD"
305,ARHNL9K1187FB5730C,Stephy Tang,Not available
306,AR3JMC51187B9AE49D,Backstreet Boys,"Orlando, FL"
307,ARPBNLO1187FB3D52F,Tiny Tim,"New York, NY"
308,AR9AWNF1187B9AB0B4,Kenny G featuring Daryl Hall,"Seattle, Washington USA"
309,AROGWRA122988FEE45,Christos Dantis,Not available
310,ARMBR4Y1187B9990EB,David Martin,California - SF
311,ARQ9BO41187FB5CF1F,John Davis,Pennsylvania
312,ARKULSX1187FB45F84,Trafik,Utah
313,ARI2JSK1187FB496EF,Nick Ingman;Gavyn Wright,"London, England"
314,AREDBBQ1187B98AFF5,Eddie Calvert,Not available
315,AR7ZKHQ1187B98DD73,Glad,Not available
316,ARBGXIG122988F409D,Steel Rain,California - SF
317,AR7SMBG1187B9B9066,Los Manolos,Not available
318,AR36F9J1187FB406F1,Bombay Rockers,Denmark
319,ARNNKDK1187B98BBD5,Jinx,Zagreb Croatia
320,AR62SOJ1187FB47BB5,Chase & Status,Not available
321,ARBEBBY1187B9B43DB,Tom Petty,"Gainesville, FL"
322,ARDR4AC1187FB371A1,Montserrat CaballA(c);Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,Not available
323,ARAGB2O1187FB3A161,Pucho & His Latin Soul Brothers,Not available
324,AREDL271187FB40F44,Soul Mekanik,Not available
325,ARP6N5A1187B99D1A3,Mitch Ryder,"Hamtramck, MI"
326,ARGSAFR1269FB35070,Blingtones,Not available
327,ARULZCI1241B9C8611,Luna Orbit Project,Not available
328,AR0IAWL1187B9A96D0,Danilo Perez,Panama
329,ARJIE2Y1187B994AB7,Line Renaud,Not available
330,ARLTWXK1187FB5A3F8,King Curtis,"Fort Worth, TX"
331,ARNF6401187FB57032,Sophie B. Hawkins,"New York, NY [Manhattan]"
332,ARPFHN61187FB575F6,Lupe Fiasco,"Chicago, IL"
333,AR051KA1187B98B2FF,Wilks,Not available
334,AR8IEZO1187B99055E,Marc Shaiman,Not available
335,AR558FS1187FB45658,40 Grit,Not available
336,ARVBRGZ1187FB4675A,Gwen Stefani,Not available
337,ARWB3G61187FB49404,Steve Morse,"Hamilton, Ohio"
338,AREVWGE1187B9B890A,Bitter End,Noci (BA)
339,AR2JD2Z1187B998A90,Ethel Merman,"New York, NY [Astoria, Queens]"
340,AR7TTCH1187FB3F95C,Leon Russell & New Grass Revival,"Lawton, OK"
341,ARF6ZTO1187FB3684F,Story Of The Year,"LONG BEACH, California"
342,ARPYBWQ1187B989C0D,Natural Elements,Not available
343,ARUE3AK1187B9AC923,Neil Sedaka,"Brooklyn, NY"
344,AR6W9T51187B9A8B8E,Maurice Larcange,Not available
345,ARQ05GM1187B990512,A Static Lullaby,"Chino Hills, CA"
346,AR1Y2PT1187FB5B9CE,John Wesley_ John Wesley,Brandon
347,ARXN7S71187B9941BE,Coph Nia,Not available
348,AR1072G1187FB5B351,Tabu feat. Mitzib,Texas
349,ARXIIEY1187FB44EAF,Nights Like These,"Memphis, TN"
350,ARBUOOR1187B997391,Oasis,"Manchester, England"
351,ARQ9BO41187FB5CF1F,John Davis & Emma Doyle,Pennsylvania
352,ARGC7FQ1187FB409CC,Stew,New York
353,ARRS5961187B99F9DE,Jauida,Not available
354,AR14CJ91187FB3A994,Eddy Arnold,"Madisonville, TN"
355,ARJV0U41187B9AB715,All Time Low,"Baltimore, MD"
356,AR502DZ1187B98F8E1,Brian Dullaghan,Not available
357,ARWI6LR1187FB46E9F,Richard Galliano,"Le Cannet, France"
358,AR0AVIB1187FB37D01,Regina Belle,"Englewood, NJ"
359,AR7OCK81187B98D1F1,Debbie Davies,"Los Angeles, CA"
360,ARABFU01187FB46712,STEVE CAMP,Not available
361,ARF88UQ1187FB5A3E9,Jay Tee & Baby Bash,California - SF
362,ARQZTGO11E8F5C0768,The Stolen Minks,Not available
363,AR08GQF1187B98E316,Daath,Not available
364,ARZGMLE11F4C840C9D,Extasick,Not available
365,AROATPL1187FB48E12,UFO,Arizona
366,ARBXIDR1187B9AB77E,Avril - Remix By Ana Rago,Not available
367,ARYCP7D1187B99516B,Pat Travers,"Toronto, Canada"
368,ARVN9FZ1187FB393F1,SNOWPATROL,"Dundee, Scotland"
369,ARMD6JB1187FB3B0E7,Die Fantastischen Vier,Germany
370,ARFAGIR1187B997EA1,Jeanie Lambe & The Danny Moss Quartet,Not available
371,AROHMXL1187B9AF4B2,Yung Joc,"College Park, Georgia"
372,ARWNRBH1187B9B7E68,Philippe Sarde,"Neuilly-sur-Seine, France"
373,ARRVUWA1187B9A0FE2,Orquesta AragA3n,Cuba
374,ARZCEOJ1187B9A91C0,State of Chaos,Not available
375,ARD2NDU1187B99B615,Dropkick Murphys,"Boston, MA"
376,AREJO121187B995676,Taint,Not available
377,AR5WPYF1187B9B40DA,VHS Or Beta,"Louisville, KY"
378,ARN5BHA1187B99E072,Leonard Kwan,Not available
379,ARUZL121187FB4B42D,True Believers,Not available
380,ARW040W1187FB51082,Les Hurlements D'leo,Not available
381,ARQ7XJG1187B991CEC,Charanga Forever,Not available
382,AR7S48C1187B99711E,Zuzu Bollin,"Frisco, TX"
383,ARM7C1Q1187FB471C8,Bullet For My Valentine,"Bridgend, South Wales, UK"
384,ARYHTYH11EBCD7C884,The Hit Factory,Not available
385,AR7UOUK1187B99078C,Terry Snyder,Not available
386,ARGEKDX1187FB3A5BF,Marcus Miller,"Brooklyn, NY"
387,ARNQESK11F4C83FD6F,Beatnuts,Not available
388,ARN03F71187FB4E3F4,Ayo,United States
389,ARJ9B1V1187FB4DD1F,Kid Sister,Chicago IL
390,ARSS1OZ1187FB54440,Mons Leidvin Takle,Not available
391,ARNNQ9E1187FB3C82F,Sizzla,Not available
392,ARWSMC91187B9AD369,Helen Love,"Cardiff, Wales"
393,ARZAXOR11F4C83EB65,David Mingyue Liang,Not available
394,ARFK98R1187B9B0552,Pursuit Of Happiness,"Toronto, Ontario, Canada"
395,ARU9Q5Q1187FB3D6EB,Bobby Hutcherson,"Los Angeles, CA"
396,AR57Z841187B9B7D7D,Gregory Isaacs,"Kingston, Jamaica"
397,AR82DJK1187B991107,The Pharcyde,"Los Angeles, CA"
398,ARMUC731187B9A172D,Azis,Not available
399,ARWD25M1187FB4C563,Amy Winehouse,London
400,ARYF20K1187B9B76BD,George Lopez,"ORANGE, California"
401,ARRESZG1187B9A3FBF,Les Hou-Lops,Not available
402,ARD88QA119B3403A02,The Cosmosamatics,Not available
403,ARIHI8H1187B9B0058,Jackie Edwards,Jamaica
404,ARHO1WI1187B98CB84,Michael Card,Not available
405,ARUWB5W1187B98D7A1,Ensiferum,"Helsinki, Finland"
406,ARR9XHK1187FB3894D,Leila Chicot,FRANCE
407,AR82DJK1187B991107,The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,"Los Angeles, CA"
408,ARIUQZL1187FB4303B,Erkki Junkkarinen,Not available
409,ARBD4QW1187FB42153,Scar Symmetry,Sweden
410,AR8QW7Y119B866993A,Oztara,Not available
411,ARJAVK71187B989FEF,Sonia Dersion,Not available
412,AR0S7TA1187FB4D024,Christina Aguilera,Not available
413,ARVD9M11187FB49291,Headhunter,Not available
414,ARV1ALU1187FB4D77E,Eighteen Visions,"Orange County, CA"
415,ARVZPW91187FB4D73C,Baby Huey & The Baby Sitters,Not available
416,ART70HI1187B9A37BC,Elmore James,"Richland, MS"
417,ARCICZN11EB9C810B3,Rising Lion,Florida
418,ARW9QSZ1187FB4B93E,George Harrison,"Liverpool, England"
419,AR633SY1187B9AC3B9,Weezer,Not available
420,ARUF71J1187FB511C1,Boots Randolph,"Paducah, KY"
421,AREP8KM1187B9A3A7B,Jackson United,Not available
422,ARQXAUH1187B9BA010,Bobbie Gentry,"Chickasaw County, MS"
